parameter_set_id,manifest_id,boarding_policy,load_factor,luggage_probability,cross_zone_violation_rate,stow_dist,stow_shape_k,stow_scale_lambda_s,shuffle_model,shuffle_low_s,shuffle_mode_s,shuffle_high_s,total_ticks,total_seconds,avg_boarding_seconds,avg_wait_seconds,luggage_passengers,avg_assigned_stow_seconds,row_conflict_count,seat_shuffle_starts,seat_shuffle_finishes,boarding_completion_success
P02_wb_k1.7_l14_tri_15_20.5_26,4,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1490,745.0,103.59274193548387,84.06653225806451,188,12.617021276595745,2617,64,64,True
P02_wb_k1.7_l14_tri_15_20.5_26,5,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1505,752.5,95.98588709677419,75.98588709677419,183,12.278688524590164,2725,66,66,True
P02_wb_k1.7_l14_tri_15_20.5_26,6,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1455,727.5,113.54233870967742,93.67943548387096,187,12.935828877005347,2397,58,57,True
P02_wb_k1.7_l14_tri_15_20.5_26,7,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1531,765.5,107.18548387096774,87.28427419354838,184,12.630434782608695,2248,54,54,True
P02_wb_k1.7_l14_tri_15_20.5_26,8,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1383,691.5,100.44959677419355,80.89112903225806,190,12.805263157894737,2395,57,57,True
P02_wb_k1.7_l14_tri_15_20.5_26,9,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1478,739.0,94.56653225806451,74.77217741935483,188,13.069148936170214,2438,59,59,True
P02_wb_k1.7_l14_tri_15_20.5_26,10,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1607,803.5,107.71572580645162,88.14717741935483,175,12.64,2506,60,60,True
P02_wb_k1.7_l14_tri_15_20.5_26,11,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1293,646.5,86.6149193548387,66.65524193548387,180,12.027777777777779,2065,50,50,True
P02_wb_k1.7_l14_tri_15_20.5_26,12,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1504,752.0,113.44153225806451,93.80443548387096,193,12.715025906735752,2400,57,57,True
P02_wb_k1.7_l14_tri_15_20.5_26,13,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1423,711.5,106.84072580645162,87.45161290322581,181,12.895027624309392,2901,68,68,True
P02_wb_k1.7_l14_tri_15_20.5_26,14,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1622,811.0,108.0241935483871,88.50403225806451,190,13.773684210526316,2302,56,56,True
P02_wb_k1.7_l14_tri_15_20.5_26,15,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1464,732.0,104.19556451612904,84.5383064516129,186,12.403225806451612,2682,65,65,True
P02_wb_k1.7_l14_tri_15_20.5_26,16,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1375,687.5,93.33064516129032,73.57459677419355,181,12.292817679558011,2363,57,57,True
P02_wb_k1.7_l14_tri_15_20.5_26,17,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1382,691.0,107.8850806451613,87.90725806451613,189,12.857142857142858,2019,50,49,True
P02_wb_k1.7_l14_tri_15_20.5_26,18,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1528,764.0,124.8024193548387,104.85282258064517,194,12.262886597938145,2849,68,66,True
P02_wb_k1.7_l14_tri_15_20.5_26,19,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1349,674.5,90.32862903225806,70.57459677419355,177,12.101694915254237,2146,51,51,True
P02_wb_k1.7_l14_tri_15_20.5_26,20,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1400,700.0,95.4475806451613,75.46572580645162,192,12.09375,2369,57,57,True
P02_wb_k1.7_l14_tri_15_20.5_26,21,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1695,847.5,109.77217741935483,90.02217741935483,191,12.178010471204189,2805,66,66,True
P02_wb_k1.7_l14_tri_15_20.5_26,22,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1551,775.5,111.6350806451613,91.78225806451613,181,13.0939226519337,2612,62,62,True
P02_wb_k1.7_l14_tri_15_20.5_26,23,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1411,705.5,111.63306451612904,92.13104838709677,191,12.947643979057592,2420,58,58,True
P02_wb_k1.7_l14_tri_15_20.5_26,24,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1624,812.0,108.82459677419355,88.88709677419355,181,11.861878453038674,2877,69,68,True
