replication_id,scenario_seed,pair_completed,completed_pairs_so_far,total_seconds_a,total_seconds_b,difference,error_a,error_b
172,20260584,True,172,782.0,572.0,210.0,,
173,20260585,True,173,826.5,558.5,268.0,,
174,20260586,True,174,743.0,578.5,164.5,,
175,20260587,True,175,902.5,568.0,334.5,,
176,20260588,True,176,799.0,553.0,246.0,,
177,20260589,True,177,729.0,496.0,233.0,,
178,20260590,True,178,796.5,547.0,249.5,,
179,20260591,True,179,823.0,544.5,278.5,,
180,20260592,True,180,792.0,528.5,263.5,,
181,20260593,True,181,853.5,603.0,250.5,,
182,20260594,True,182,806.0,596.0,210.0,,
183,20260595,True,183,764.5,571.5,193.0,,
184,20260596,True,184,747.5,545.5,202.0,,
185,20260597,True,185,824.5,483.0,341.5,,
186,20260598,True,186,721.5,505.0,216.5,,
187,20260599,True,187,672.5,478.5,194.0,,
188,20260600,True,188,851.0,499.5,351.5,,
189,20260601,True,189,840.0,625.5,214.5,,
190,20260602,True,190,753.5,593.5,160.0,,
191,20260603,True,191,789.0,575.0,214.0,,
192,20260604,True,192,808.5,543.5,265.0,,
193,20260605,True,193,664.0,442.0,222.0,,
194,20260606,True,194,728.0,515.0,213.0,,
195,20260607,True,195,823.5,576.0,247.5,,
196,20260608,True,196,852.5,515.5,337.0,,
197,20260609,True,197,910.5,552.5,358.0,,
198,20260610,True,198,801.0,532.0,269.0,,
199,20260611,True,199,929.5,550.5,379.0,,
200,20260612,True,200,882.5,545.5,337.0,,
201,20260613,True,201,780.0,578.5,201.5,,
202,20260614,True,202,871.5,540.0,331.5,,
203,20260615,True,203,752.5,507.5,245.0,,
