replication_id,scenario_seed,boarding_time_zonal,boarding_time_pyramid,difference,ratio,relative_improvement,pair_completed,zonal_error,pyramid_error
34,20260446,696.5,509.5,187.0,0.7315147164393395,0.2684852835606604,True,,
35,20260447,687.5,482.0,205.5,0.7010909090909091,0.2989090909090909,True,,
36,20260448,739.5,555.0,184.5,0.7505070993914807,0.24949290060851928,True,,
37,20260449,612.0,472.0,140.0,0.7712418300653595,0.22875816993464052,True,,
38,20260450,881.5,596.5,285.0,0.6766874645490641,0.3233125354509359,True,,
39,20260451,677.0,543.5,133.5,0.8028064992614475,0.19719350073855244,True,,
40,20260452,620.5,487.0,133.5,0.7848509266720387,0.21514907332796132,True,,
41,20260453,685.0,563.0,122.0,0.8218978102189781,0.1781021897810219,True,,
42,20260454,724.5,467.0,257.5,0.6445824706694272,0.3554175293305728,True,,
43,20260455,688.0,497.5,190.5,0.7231104651162791,0.2768895348837209,True,,
44,20260456,772.5,500.0,272.5,0.6472491909385113,0.35275080906148865,True,,
45,20260457,827.0,616.5,210.5,0.74546553808948,0.2545344619105199,True,,
46,20260458,674.0,476.0,198.0,0.7062314540059347,0.29376854599406527,True,,
47,20260459,655.0,483.5,171.5,0.7381679389312977,0.26183206106870227,True,,
48,20260460,799.5,476.0,323.5,0.5953721075672295,0.4046278924327705,True,,
49,20260461,808.0,483.0,325.0,0.5977722772277227,0.40222772277227725,True,,
50,20260462,737.5,530.5,207.0,0.7193220338983051,0.28067796610169493,True,,
51,20260463,686.0,488.5,197.5,0.7120991253644315,0.2879008746355685,True,,
52,20260464,760.5,539.0,221.5,0.7087442472057857,0.29125575279421434,True,,
53,20260465,697.0,504.0,193.0,0.7230989956958394,0.2769010043041607,True,,
54,20260466,811.0,473.0,338.0,0.5832305795314426,0.41676942046855736,True,,
55,20260467,593.5,453.0,140.5,0.7632687447346251,0.2367312552653749,True,,
56,20260468,730.0,496.5,233.5,0.6801369863013699,0.3198630136986301,True,,
57,20260469,648.5,512.0,136.5,0.7895142636854279,0.2104857363145721,True,,
58,20260470,733.5,578.5,155.0,0.7886843899113838,0.2113156100886162,True,,
59,20260471,656.5,488.5,168.0,0.7440974866717441,0.2559025133282559,True,,
60,20260472,802.0,584.5,217.5,0.7288029925187033,0.27119700748129677,True,,
61,20260473,750.5,437.0,313.5,0.5822784810126582,0.4177215189873418,True,,
62,20260474,827.5,508.5,319.0,0.6145015105740181,0.38549848942598186,True,,
63,20260475,602.0,469.0,133.0,0.7790697674418605,0.22093023255813954,True,,
64,20260476,836.5,533.0,303.5,0.6371787208607292,0.36282127913927076,True,,
65,20260477,607.0,507.5,99.5,0.8360790774299836,0.16392092257001648,True,,
66,20260478,697.0,495.0,202.0,0.7101865136298422,0.2898134863701578,True,,
67,20260479,738.0,534.5,203.5,0.7242547425474255,0.2757452574525745,True,,
68,20260480,698.0,568.0,130.0,0.8137535816618912,0.18624641833810887,True,,
