replication_id,n_completed_pairs,sample_mean_diff,sample_sd_diff,standard_error,t_critical,ci_half_width,ci_low,ci_high,cv,pair_completed,difference,error_a,error_b,stop_flag
47,47,260.5425531914894,79.59823229597407,11.610595477099695,2.012895598919429,23.370916536687805,237.17163665480157,283.9134697281772,0.3055095274109494,True,234.5,,,False
48,48,262.3541666666667,79.74086743769665,11.509602820142106,2.0117405137297655,23.154334290218237,239.19983237644846,285.5085009568849,0.3039435906463463,True,347.5,,,False
49,49,262.265306122449,78.9083132265448,11.272616175220687,2.010634757624232,22.665113891255842,239.60019223119315,284.9304200137048,0.30087209929971953,True,258.0,,,False
50,50,264.02,79.07842658412223,11.183378336639075,2.0095752371292392,22.473840172757466,241.54615982724252,286.4938401727575,0.29951680396985925,True,350.0,,,False
51,51,262.7450980392157,78.81131724245063,11.035791793061689,2.0085591121007607,22.166040165200847,240.57905787401484,284.91113820441655,0.299953520848133,True,199.0,,,False
52,52,264.08653846153845,78.63209948955799,10.90431025411489,2.007583770315836,21.891316292649602,242.19522216888885,285.97785475418806,0.29775125967282107,True,332.5,,,False
53,53,265.89622641509436,78.9789625403357,10.848594834622897,2.006646805061688,21.769298164304768,244.1269282507896,287.6655245793991,0.29702927192746437,True,360.0,,,False
54,54,266.0462962962963,78.23810226738068,10.64685716659835,2.0057459953178687,21.35489112462599,244.6914051716703,287.40118742092227,0.2940770210168487,True,274.0,,,False
55,55,265.27272727272725,77.72231066918674,10.480074232698215,2.0048792881880564,21.01128376780999,244.26144350491725,286.2840110405372,0.29299020471591986,True,223.5,,,False
56,56,264.9732142857143,77.04511191166199,10.295586146396252,2.0040447832891455,20.632815707589405,244.34039857812488,285.6060299933037,0.2907656614248793,True,248.5,,,False
57,57,265.9035087719298,76.67646771829273,10.156046251833201,2.003240718847872,20.345005394174578,245.55850337775524,286.24851416610437,0.28836200045806654,True,318.0,,,False
58,58,265.16379310344826,76.20939459119488,10.006783754168833,2.002465459291007,20.038238826317478,245.1255542771308,285.2020319297657,0.28740497976457646,True,223.0,,,False
59,59,263.20338983050846,77.03560074027058,10.029180967129376,2.0017174841452356,20.075586893559496,243.12780293694897,283.27897672406795,0.2926846830881554,True,149.5,,,False
60,60,261.84166666666664,77.104842319011,9.954192340449282,2.000995378088267,19.91829286584064,241.923373800826,281.7599595325073,0.2944712478368391,True,181.5,,,False
61,61,263.3114754098361,77.31656592296517,9.899371867902529,2.00029782201426,19.801691986674665,243.50978342316142,283.11316739651073,0.2936315851886985,True,351.5,,,False
62,62,267.9274193548387,84.8580225432599,10.776979639979036,1.9996235849949395,21.549902663112352,246.37751669172636,289.47732201795105,0.31672018768215476,True,549.5,,,False
63,63,266.7857142857143,84.65731273244114,10.665818864431486,1.9989715170333786,21.320668115835836,245.46504616987843,288.1063824015501,0.317323260576754,True,196.0,,,False
64,64,267.4609375,84.15628435198728,10.51953554399841,1.998340542520741,21.02161436606,246.43932313394,288.48255186606,0.31464887971533145,True,310.0,,,False
65,65,266.65384615384613,83.74939006666533,10.387833368926925,1.9977296543176928,20.75208276521618,245.90176338862994,287.4059289190623,0.3140753125246356,True,215.0,,,False
66,66,267.6439393939394,83.49102969557292,10.277035328627814,1.9971379083920038,20.524656840686482,247.1192825532529,288.16859623462585,0.31194814231412227,True,332.0,,,False
