replication_id,scenario_seed,strategy,total_boarding_time,load_factor,luggage_probability,cross_zone_violation_rate,passenger_count,completed,error_message
68,20260480,pyramid,513.0,0.85,0.75,0.05,248,True,
69,20260481,std,754.0,0.85,0.75,0.05,248,True,
69,20260481,pyramid,559.5,0.85,0.75,0.05,248,True,
70,20260482,std,792.0,0.85,0.75,0.05,248,True,
70,20260482,pyramid,615.0,0.85,0.75,0.05,248,True,
71,20260483,std,884.0,0.85,0.75,0.05,248,True,
71,20260483,pyramid,546.0,0.85,0.75,0.05,248,True,
72,20260484,std,696.5,0.85,0.75,0.05,248,True,
72,20260484,pyramid,561.5,0.85,0.75,0.05,248,True,
73,20260485,std,797.5,0.85,0.75,0.05,248,True,
73,20260485,pyramid,525.5,0.85,0.75,0.05,248,True,
74,20260486,std,937.0,0.85,0.75,0.05,248,True,
74,20260486,pyramid,630.0,0.85,0.75,0.05,248,True,
75,20260487,std,703.5,0.85,0.75,0.05,248,True,
75,20260487,pyramid,569.0,0.85,0.75,0.05,248,True,
76,20260488,std,821.0,0.85,0.75,0.05,248,True,
76,20260488,pyramid,538.5,0.85,0.75,0.05,248,True,
77,20260489,std,802.0,0.85,0.75,0.05,248,True,
77,20260489,pyramid,540.5,0.85,0.75,0.05,248,True,
78,20260490,std,722.0,0.85,0.75,0.05,248,True,
78,20260490,pyramid,503.0,0.85,0.75,0.05,248,True,
79,20260491,std,774.0,0.85,0.75,0.05,248,True,
79,20260491,pyramid,568.0,0.85,0.75,0.05,248,True,
80,20260492,std,863.5,0.85,0.75,0.05,248,True,
80,20260492,pyramid,482.0,0.85,0.75,0.05,248,True,
81,20260493,std,797.0,0.85,0.75,0.05,248,True,
81,20260493,pyramid,521.0,0.85,0.75,0.05,248,True,
82,20260494,std,786.0,0.85,0.75,0.05,248,True,
82,20260494,pyramid,481.0,0.85,0.75,0.05,248,True,
83,20260495,std,712.5,0.85,0.75,0.05,248,True,
83,20260495,pyramid,493.0,0.85,0.75,0.05,248,True,
84,20260496,std,845.5,0.85,0.75,0.05,248,True,
84,20260496,pyramid,583.5,0.85,0.75,0.05,248,True,
85,20260497,std,721.5,0.85,0.75,0.05,248,True,
85,20260497,pyramid,548.5,0.85,0.75,0.05,248,True,
86,20260498,std,682.5,0.85,0.75,0.05,248,True,
86,20260498,pyramid,510.5,0.85,0.75,0.05,248,True,
87,20260499,std,892.5,0.85,0.75,0.05,248,True,
87,20260499,pyramid,578.5,0.85,0.75,0.05,248,True,
88,20260500,std,819.5,0.85,0.75,0.05,248,True,
88,20260500,pyramid,518.0,0.85,0.75,0.05,248,True,
89,20260501,std,756.0,0.85,0.75,0.05,248,True,
89,20260501,pyramid,617.5,0.85,0.75,0.05,248,True,
90,20260502,std,867.5,0.85,0.75,0.05,248,True,
90,20260502,pyramid,544.5,0.85,0.75,0.05,248,True,
91,20260503,std,760.5,0.85,0.75,0.05,248,True,
91,20260503,pyramid,519.5,0.85,0.75,0.05,248,True,
92,20260504,std,810.0,0.85,0.75,0.05,248,True,
92,20260504,pyramid,572.5,0.85,0.75,0.05,248,True,
93,20260505,std,826.5,0.85,0.75,0.05,248,True,
93,20260505,pyramid,479.0,0.85,0.75,0.05,248,True,
94,20260506,std,703.5,0.85,0.75,0.05,248,True,
94,20260506,pyramid,534.0,0.85,0.75,0.05,248,True,
95,20260507,std,878.5,0.85,0.75,0.05,248,True,
95,20260507,pyramid,564.5,0.85,0.75,0.05,248,True,
96,20260508,std,746.0,0.85,0.75,0.05,248,True,
96,20260508,pyramid,539.5,0.85,0.75,0.05,248,True,
97,20260509,std,823.5,0.85,0.75,0.05,248,True,
97,20260509,pyramid,578.5,0.85,0.75,0.05,248,True,
98,20260510,std,890.0,0.85,0.75,0.05,248,True,
98,20260510,pyramid,517.5,0.85,0.75,0.05,248,True,
99,20260511,std,903.5,0.85,0.75,0.05,248,True,
99,20260511,pyramid,546.5,0.85,0.75,0.05,248,True,
100,20260512,std,738.5,0.85,0.75,0.05,248,True,
100,20260512,pyramid,602.0,0.85,0.75,0.05,248,True,
101,20260513,std,724.0,0.85,0.75,0.05,248,True,
101,20260513,pyramid,632.5,0.85,0.75,0.05,248,True,
102,20260514,std,832.5,0.85,0.75,0.05,248,True,
102,20260514,pyramid,557.5,0.85,0.75,0.05,248,True,
103,20260515,std,758.0,0.85,0.75,0.05,248,True,
103,20260515,pyramid,576.0,0.85,0.75,0.05,248,True,
104,20260516,std,878.5,0.85,0.75,0.05,248,True,
104,20260516,pyramid,606.0,0.85,0.75,0.05,248,True,
105,20260517,std,725.0,0.85,0.75,0.05,248,True,
105,20260517,pyramid,514.5,0.85,0.75,0.05,248,True,
106,20260518,std,830.0,0.85,0.75,0.05,248,True,
106,20260518,pyramid,501.0,0.85,0.75,0.05,248,True,
107,20260519,std,747.0,0.85,0.75,0.05,248,True,
107,20260519,pyramid,540.5,0.85,0.75,0.05,248,True,
108,20260520,std,828.0,0.85,0.75,0.05,248,True,
108,20260520,pyramid,583.5,0.85,0.75,0.05,248,True,
109,20260521,std,866.5,0.85,0.75,0.05,248,True,
109,20260521,pyramid,625.5,0.85,0.75,0.05,248,True,
110,20260522,std,743.0,0.85,0.75,0.05,248,True,
110,20260522,pyramid,532.5,0.85,0.75,0.05,248,True,
111,20260523,std,734.0,0.85,0.75,0.05,248,True,
111,20260523,pyramid,540.0,0.85,0.75,0.05,248,True,
112,20260524,std,697.5,0.85,0.75,0.05,248,True,
112,20260524,pyramid,481.0,0.85,0.75,0.05,248,True,
113,20260525,std,736.5,0.85,0.75,0.05,248,True,
113,20260525,pyramid,551.5,0.85,0.75,0.05,248,True,
114,20260526,std,742.0,0.85,0.75,0.05,248,True,
114,20260526,pyramid,551.5,0.85,0.75,0.05,248,True,
115,20260527,std,798.5,0.85,0.75,0.05,248,True,
115,20260527,pyramid,559.5,0.85,0.75,0.05,248,True,
116,20260528,std,861.0,0.85,0.75,0.05,248,True,
116,20260528,pyramid,678.5,0.85,0.75,0.05,248,True,
117,20260529,std,822.0,0.85,0.75,0.05,248,True,
117,20260529,pyramid,553.0,0.85,0.75,0.05,248,True,
118,20260530,std,745.5,0.85,0.75,0.05,248,True,
118,20260530,pyramid,554.5,0.85,0.75,0.05,248,True,
119,20260531,std,930.0,0.85,0.75,0.05,248,True,
119,20260531,pyramid,562.5,0.85,0.75,0.05,248,True,
120,20260532,std,797.5,0.85,0.75,0.05,248,True,
120,20260532,pyramid,563.0,0.85,0.75,0.05,248,True,
121,20260533,std,693.5,0.85,0.75,0.05,248,True,
121,20260533,pyramid,480.0,0.85,0.75,0.05,248,True,
122,20260534,std,719.5,0.85,0.75,0.05,248,True,
122,20260534,pyramid,458.5,0.85,0.75,0.05,248,True,
123,20260535,std,824.0,0.85,0.75,0.05,248,True,
123,20260535,pyramid,546.5,0.85,0.75,0.05,248,True,
124,20260536,std,831.5,0.85,0.75,0.05,248,True,
124,20260536,pyramid,624.5,0.85,0.75,0.05,248,True,
125,20260537,std,781.5,0.85,0.75,0.05,248,True,
125,20260537,pyramid,488.5,0.85,0.75,0.05,248,True,
126,20260538,std,837.5,0.85,0.75,0.05,248,True,
126,20260538,pyramid,549.0,0.85,0.75,0.05,248,True,
127,20260539,std,803.0,0.85,0.75,0.05,248,True,
127,20260539,pyramid,592.5,0.85,0.75,0.05,248,True,
128,20260540,std,688.5,0.85,0.75,0.05,248,True,
128,20260540,pyramid,497.0,0.85,0.75,0.05,248,True,
129,20260541,std,817.0,0.85,0.75,0.05,248,True,
129,20260541,pyramid,568.0,0.85,0.75,0.05,248,True,
130,20260542,std,850.5,0.85,0.75,0.05,248,True,
130,20260542,pyramid,526.0,0.85,0.75,0.05,248,True,
131,20260543,std,818.0,0.85,0.75,0.05,248,True,
131,20260543,pyramid,476.0,0.85,0.75,0.05,248,True,
132,20260544,std,779.0,0.85,0.75,0.05,248,True,
132,20260544,pyramid,644.5,0.85,0.75,0.05,248,True,
133,20260545,std,771.0,0.85,0.75,0.05,248,True,
133,20260545,pyramid,497.0,0.85,0.75,0.05,248,True,
134,20260546,std,869.5,0.85,0.75,0.05,248,True,
134,20260546,pyramid,576.0,0.85,0.75,0.05,248,True,
135,20260547,std,816.0,0.85,0.75,0.05,248,True,
135,20260547,pyramid,635.5,0.85,0.75,0.05,248,True,
136,20260548,std,829.5,0.85,0.75,0.05,248,True,
136,20260548,pyramid,540.5,0.85,0.75,0.05,248,True,
137,20260549,std,748.5,0.85,0.75,0.05,248,True,
137,20260549,pyramid,578.0,0.85,0.75,0.05,248,True,
138,20260550,std,741.5,0.85,0.75,0.05,248,True,
138,20260550,pyramid,606.0,0.85,0.75,0.05,248,True,
139,20260551,std,796.5,0.85,0.75,0.05,248,True,
139,20260551,pyramid,596.0,0.85,0.75,0.05,248,True,
140,20260552,std,751.0,0.85,0.75,0.05,248,True,
140,20260552,pyramid,503.5,0.85,0.75,0.05,248,True,
141,20260553,std,694.5,0.85,0.75,0.05,248,True,
141,20260553,pyramid,543.0,0.85,0.75,0.05,248,True,
142,20260554,std,885.5,0.85,0.75,0.05,248,True,
142,20260554,pyramid,609.5,0.85,0.75,0.05,248,True,
143,20260555,std,739.5,0.85,0.75,0.05,248,True,
143,20260555,pyramid,582.0,0.85,0.75,0.05,248,True,
144,20260556,std,761.0,0.85,0.75,0.05,248,True,
144,20260556,pyramid,470.0,0.85,0.75,0.05,248,True,
145,20260557,std,831.5,0.85,0.75,0.05,248,True,
145,20260557,pyramid,530.5,0.85,0.75,0.05,248,True,
146,20260558,std,860.0,0.85,0.75,0.05,248,True,
146,20260558,pyramid,541.5,0.85,0.75,0.05,248,True,
147,20260559,std,854.0,0.85,0.75,0.05,248,True,
147,20260559,pyramid,616.0,0.85,0.75,0.05,248,True,
148,20260560,std,817.0,0.85,0.75,0.05,248,True,
148,20260560,pyramid,524.0,0.85,0.75,0.05,248,True,
149,20260561,std,795.5,0.85,0.75,0.05,248,True,
149,20260561,pyramid,581.0,0.85,0.75,0.05,248,True,
150,20260562,std,829.0,0.85,0.75,0.05,248,True,
150,20260562,pyramid,601.5,0.85,0.75,0.05,248,True,
151,20260563,std,680.0,0.85,0.75,0.05,248,True,
151,20260563,pyramid,564.5,0.85,0.75,0.05,248,True,
152,20260564,std,827.0,0.85,0.75,0.05,248,True,
152,20260564,pyramid,552.5,0.85,0.75,0.05,248,True,
153,20260565,std,846.5,0.85,0.75,0.05,248,True,
153,20260565,pyramid,620.0,0.85,0.75,0.05,248,True,
154,20260566,std,730.5,0.85,0.75,0.05,248,True,
154,20260566,pyramid,507.5,0.85,0.75,0.05,248,True,
155,20260567,std,697.5,0.85,0.75,0.05,248,True,
155,20260567,pyramid,508.5,0.85,0.75,0.05,248,True,
156,20260568,std,766.0,0.85,0.75,0.05,248,True,
156,20260568,pyramid,554.5,0.85,0.75,0.05,248,True,
157,20260569,std,795.0,0.85,0.75,0.05,248,True,
157,20260569,pyramid,506.5,0.85,0.75,0.05,248,True,
158,20260570,std,866.0,0.85,0.75,0.05,248,True,
158,20260570,pyramid,561.0,0.85,0.75,0.05,248,True,
159,20260571,std,709.0,0.85,0.75,0.05,248,True,
159,20260571,pyramid,558.5,0.85,0.75,0.05,248,True,
160,20260572,std,728.0,0.85,0.75,0.05,248,True,
160,20260572,pyramid,561.5,0.85,0.75,0.05,248,True,
161,20260573,std,830.0,0.85,0.75,0.05,248,True,
161,20260573,pyramid,573.5,0.85,0.75,0.05,248,True,
162,20260574,std,771.5,0.85,0.75,0.05,248,True,
162,20260574,pyramid,515.5,0.85,0.75,0.05,248,True,
163,20260575,std,720.5,0.85,0.75,0.05,248,True,
